well,condition,replicate,group,CDW,Yx,Yp,µmax2,µmax,lag,r.c_µmax,strain,strain_type
A1,Glu_65,1,hexose,5.4746999999999995,0.08422615384615384,0.1113002042205582,0.1494774070088327,0.14396902905828962,6.047682698618017,0.03826085364729979,LBCM1001,LBCM
A2,Glu_65,2,hexose,7.9079,0.1223060537670096,0.11414959952301092,0.1428806116846409,0.14597591810202262,6.603814410399554,-0.021204226406840762,LBCM1001,LBCM
A3,Glu_65,3,hexose,6.252400000000001,0.09619076923076925,0.0662355343771273,0.140759968581641,0.1473889608448496,6.328284976095904,-0.04497617884820198,LBCM1001,LBCM
A4,Glu_30,1,hexose,4.4197999999999995,0.14903232995658464,0.15994262515528346,0.15814767084418782,0.14843685660542358,6.035047072489055,0.06542050580185507,LBCM1001,LBCM
A5,Glu_30,2,hexose,4.466,0.15059015918958032,0.13651819218011607,0.15074462833368935,0.14340830437567106,5.952446992033713,0.05115689771214445,LBCM1001,LBCM
A6,Glu_30,3,hexose,4.081,0.13922005856515374,0.12890941836509934,0.15728695195510403,0.14069707384119712,5.884825866715228,0.11791203371174361,LBCM1001,LBCM
A7,Xyl_36,1,pentose,1.39062,0.2789861029791631,0.21082847829366755,0.10609214093742764,0.09561942066496797,6.7070341232108985,0.1095250337183496,LBCM1001,LBCM
A8,Xyl_36,2,pentose,1.3259400000000001,0.26711397198685805,0.22667866909265638,0.11188673497736029,0.10086592420837208,6.709707793346711,0.10926198173945312,LBCM1001,LBCM
A9,Xyl_36,3,pentose,1.29514,0.26036895599654875,0.18787022685103882,0.11606340999824562,0.10243880079051365,6.513801817391455,0.1330024278163326,LBCM1001,LBCM
A10,Xyl_16,1,pentose,1.34596,0.27002641639400726,0.17824993027944613,0.13613116903757624,0.10917936577137917,6.0403955785791625,0.24685803105537327,LBCM1001,LBCM
A11,Xyl_16,2,pentose,1.49842,0.3014434985322052,0.17535984278320194,0.13241867562117343,0.1066785311077572,6.29729993103848,0.24128701666707258,LBCM1001,LBCM
A12,Xyl_16,3,pentose,1.54924,0.3119904235090752,0.1764327946091892,0.12774990736731445,0.10320572858345738,6.415544366333762,0.23781798860137313,LBCM1001,LBCM
B1,Gal_4.5,1,hexose,1.5446199999999999,0.35134915765322844,0.10849946194922311,0.1270329952934831,0.11051946180468626,9.643012638234948,0.14941742584650045,LBCM1001,LBCM
B2,Gal_4.5,2,hexose,1.54231,0.3517460203746303,0.11887605093948393,0.12859953216604517,0.11368325287648827,9.894088487478776,0.1312091175448926,LBCM1001,LBCM
B3,Gal_4.5,3,hexose,1.6000599999999998,0.3592499644128113,0.12646793574264995,0.12442855615429559,0.11254294590954342,9.656122939498093,0.10560955330159251,LBCM1001,LBCM
B4,Gal_2,1,hexose,1.01563,0.5260053880597015,0.04014951789723947,0.1036510722354355,0.09930536036366262,9.62384820773093,0.04376110066826807,LBCM1001,LBCM
B5,Gal_2,2,hexose,1.04951,0.5708149999999999,0.04206702360806725,0.10646102011828151,0.09964638235703265,9.496313549251278,0.06838821039013784,LBCM1001,LBCM
B6,Gal_2,3,hexose,1.1011,0.694694,0.05937803700724055,0.1065059570625189,0.0908567129618784,9.688310142650643,0.17224092299274135,LBCM1001,LBCM
B7,Ara_4,1,pentose,0.77154,0.15441403538910842,0.29409575947933414,0,0.07666147985266071,5.763801069195673,-1,LBCM1001,LBCM
B8,Ara_4,2,pentose,0,0,0,0,0,0,NA,LBCM1001,LBCM
B9,Ara_4,3,pentose,0,0,0,0,0,0,NA,LBCM1001,LBCM
B10,Ara_2,1,pentose,2.6565,0.5323967830724239,0.1926978590860583,0.13540304576843767,0.11721691604510585,5.775760632445338,0.15514936185775163,LBCM1001,LBCM
B11,Ara_2,2,pentose,3.1416,0.6294005159071366,0.19192240087049822,0.13328225194448168,0.11013447155719215,5.8269700219679335,0.210177431824958,LBCM1001,LBCM
B12,Ara_2,3,pentose,4.6277,0.9290488540410132,0.20626575512513362,0.13883550004394826,0.11135612026521238,5.532497503777556,0.2467702692343209,LBCM1001,LBCM
C1,Man_16,1,hexose,0.74767,0.046729375,0.039850663716814165,0.022177626805512763,0.051749225786826586,7.63399876138669,-0.5714404134881115,LBCM1001,LBCM
C2,Man_16,2,hexose,0.8316000000000001,0.05197500000000001,0.04250553097345133,0.022595572374751745,0.05317092066760935,7.838921799558936,-0.5750389105352371,LBCM1001,LBCM
C3,Man_16,3,hexose,0.79079,0.049424375,0.033545353982300886,0.008046028489769314,0.054507310815425224,7.77301173448016,-0.8523862511395015,LBCM1001,LBCM
C4,Man_10,1,hexose,3.3726,0.33726,0.04053097345132744,0.1397753178989677,0.1300953272911518,8.566360504997142,0.07440690460889633,LBCM1001,LBCM
C5,Man_10,2,hexose,2.7643,0.27643,0.04057522123893806,0.1407270893705251,0.12729942843778397,8.525086761187858,0.10548092082992931,LBCM1001,LBCM
C6,Man_10,3,hexose,3.2032000000000003,0.32032000000000005,0.05305309734513275,0.13601595625528654,0.12572206573627906,8.632414967703408,0.08187815288209199,LBCM1001,LBCM
C7,EtOH_90,1,alcohol,0.14245,0,0,0.07584876944189983,0.02135316712836212,17.441800194321495,2.552108639713427,LBCM1001,LBCM
C8,EtOH_90,2,alcohol,0.10856999999999999,0,0,0.08176892759939638,0.02031503464495031,18.24459036942511,3.0250449496388927,LBCM1001,LBCM
C9,EtOH_90,3,alcohol,0.15323,0,0,0.068447537406331,0.020249667591940457,18.57064539178745,2.38018079040338,LBCM1001,LBCM
C10,EtOH_45,1,alcohol,0,0,0,0.2070093753583715,0,0,Inf,LBCM1001,LBCM
C11,EtOH_45,2,alcohol,0,0,0,0.19785507713996656,0,0,Inf,LBCM1001,LBCM
C12,EtOH_45,3,alcohol,0,0,0,0.17685307740625378,0,0,Inf,LBCM1001,LBCM
D1,NaCl_80,1,salt,1.1342100000000002,0.057201500000000016,0.017919300463548254,0.05081575315392333,0.04703662465196867,15.844287102959509,0.08034438121181142,LBCM1001,LBCM
D2,NaCl_80,2,salt,1.1650099999999999,0.06086263004484305,0.013938945989920236,0.05057558474474147,0.04809370285328897,17.270350923107397,0.05160513215261346,LBCM1001,LBCM
D3,NaCl_80,3,salt,1.14037,0.05701850000000001,0.014579646017699116,0.04431561783381843,0.04760609916651909,18.15492081979582,-0.06911890262613284,LBCM1001,LBCM
D4,NaCl_25,1,salt,2.8104999999999998,0.14052499999999998,0.010287610619469029,0.13207247840182576,0.11668277109266355,7.881387952662662,0.13189357061926893,LBCM1001,LBCM
D5,NaCl_25,2,salt,6.9916,0.34958,0.023318584070796466,0.13928971709627305,0.11949799023013324,7.881473962556878,0.16562393081276292,LBCM1001,LBCM
