well,condition,replicate,group,CDW,Yx,Yp,µmax2,µmax,lag,r.c_µmax,strain,strain_type
A1,Glu_65,1,hexose,5.9143,0.09347676206749252,0.08270596677439518,0.1323417500674327,0.13245803091013456,6.283167885804202,-8.778693288951218e-4,LBCM1008,LBCM
A2,Glu_65,2,hexose,5.9143,0.092061043331931,0.09135945646490287,0.13254947184260588,0.13650000156960324,6.139317823522391,-0.028941609388794986,LBCM1008,LBCM
A3,Glu_65,3,hexose,6.411300000000001,0.09946251572327046,0.08798279246584648,0.13520335936047725,0.1382209964310696,5.984645798452957,-0.02183197306132315,LBCM1008,LBCM
A4,Glu_30,1,hexose,4.5298,0.1532016453382084,0.17612560557143456,0.1508654723798641,0.130209917414834,5.753179571028517,0.1586327322459153,LBCM1008,LBCM
A5,Glu_30,2,hexose,4.558199999999999,0.15304301270417422,0.1619484663648202,0.14777562714173542,0.13105320452072708,5.881010234357892,0.12760025733185,LBCM1008,LBCM
A6,Glu_30,3,hexose,4.6292,0.1548647377938517,0.16486782154838922,0.13387294070641706,0.12321531169490393,5.64465228078907,0.08649597898922423,LBCM1008,LBCM
A7,Xyl_36,1,pentose,1.2517299999999998,0.14297793430561412,0.06165539276074486,0.10768659514009801,0.09203774789820815,6.377145369105907,0.17002640328832433,LBCM1008,LBCM
A8,Xyl_36,2,pentose,1.20416,0.10958756395120024,0.04599815260996335,0.12006557523316218,0.09695609059918267,5.920720723716813,0.23835000453467456,LBCM1008,LBCM
A9,Xyl_36,3,pentose,1.1289,0.11987002323262431,0.05434824111281004,0.1231589954136985,0.09744572864050703,6.115640066887193,0.2638726923378227,LBCM1008,LBCM
A10,Xyl_16,1,pentose,1.18215,0.17940047712797605,0.07655612465877767,0.1318924397676299,0.09961828151968902,5.826773686226095,0.32397826739825936,LBCM1008,LBCM
A11,Xyl_16,2,pentose,1.26735,0.22839268578856006,0.09024625998977016,0.12874991201022426,0.09647071638839563,5.982745596755099,0.33460097354176443,LBCM1008,LBCM
A12,Xyl_16,3,pentose,1.1431,0.21165293114162453,0.09035114023398813,0.13018025935896388,0.09283356974989665,5.678714072972723,0.40229724774866593,LBCM1008,LBCM
B1,Gal_4.5,1,hexose,1.31066,0.2961854018126888,0.1196555164381169,0.12410766584161137,0.10941903690627532,10.101576938831828,0.13424198704945503,LBCM1008,LBCM
B2,Gal_4.5,2,hexose,1.3461599999999998,0.3012949371633752,0.11829267188197769,0.12454149467048597,0.11184307771740172,10.237453056561575,0.11353779967652393,LBCM1008,LBCM
B3,Gal_4.5,3,hexose,1.35823,0.3032704597014926,0.11493429244927866,0.12291028698014717,0.10907185552952761,10.218554159145036,0.1268744478897515,LBCM1008,LBCM
B4,Gal_2,1,hexose,0.82857,0.43039608333333335,0.029056234639762,0.11069521570808394,0.08449922264640172,10.229784850807041,0.3100146041733762,LBCM1008,LBCM
B5,Gal_2,2,hexose,0.8910499999999999,0.562926858108108,0.03365937241082759,0.11037957101901678,0.08457443787205784,10.070536488021087,0.3051174065856201,LBCM1008,LBCM
B6,Gal_2,3,hexose,0.8875,0.8734868421052631,0.05314431305271327,0.11163656799415995,0.08743086930773104,10.119494720402667,0.2768552901061974,LBCM1008,LBCM
B7,Ara_4,1,pentose,0,0,0,0,0,0,NA,LBCM1008,LBCM
B8,Ara_4,2,pentose,0,0,0,0,0,0,NA,LBCM1008,LBCM
B9,Ara_4,3,pentose,0,0,0,0,0,0,NA,LBCM1008,LBCM
B10,Ara_2,1,pentose,2.0589999999999997,0.41179999999999994,0.10776096235933257,0.16970322810218622,0.11166841097809733,5.619068546856172,0.5197066620341884,LBCM1008,LBCM
B11,Ara_2,2,pentose,2.7406,0.54812,0.1039580908032596,0.16228611811898677,0.10528892864026654,5.571908118943298,0.5413407678736919,LBCM1008,LBCM
B12,Ara_2,3,pentose,2.3927,0.47854,0.09852541715172683,0.13523568174030673,0.09934717835602716,5.868283014386464,0.361243308347089,LBCM1008,LBCM
C1,Man_16,1,hexose,0.63332,0.04219985757884029,0.0036341614193323764,0,0.04630956911801383,6.647085657408181,-1,LBCM1008,LBCM
C2,Man_16,2,hexose,0.6816,0.046120661157024796,0.003405583242735322,0,0.05848199507465478,8.307990038218858,-1,LBCM1008,LBCM
C3,Man_16,3,hexose,0.63261,0.04258577081192189,0.0038661237981176674,0,0.04390101321507362,9.41342542287844,-1,LBCM1008,LBCM
C4,Man_10,1,hexose,3.7630000000000003,0.392791235059761,0.005223174048083954,0.14180991724717432,0.11969159650746541,8.030641796287087,0.18479426613989008,LBCM1008,LBCM
C5,Man_10,2,hexose,3.266,0.3342546875,0.0053376018626309675,0.14278444981061592,0.1257854416365713,7.7670260484564935,0.13514289056725204,LBCM1008,LBCM
C6,Man_10,3,hexose,3.3369999999999993,0.3428603921568627,0.005252878023541586,0.14091328894087787,0.1300514870093402,7.5608057393119195,0.08351924442630632,LBCM1008,LBCM
