well,condition,replicate,group,CDW,Yx,Yp,µmax2,µmax,lag,r.c_µmax,strain,strain_type
A1,Glu_65,1,hexose,3.6180000000000003,0.05586376021798366,0.07271402319244662,0.169256559620126,0.12886252312466998,6.39137894839442,0.313466130539569,LBCM1014,LBCM
A2,Glu_65,2,hexose,2.9681,0.046850232126276696,0.07365960570922676,0.18758312050309803,0.13222188127082515,5.334391731026276,0.41869952764382856,LBCM1014,LBCM
A3,Glu_65,3,hexose,3.4706,0.05339384615384615,0.07118804588024835,0.16521731937764375,0.1268227863443233,7.544275823979581,0.3027415982572678,LBCM1014,LBCM
A4,Glu_30,1,hexose,5.5007,0.18553948412698412,0.14932862679955702,0.18832778443623158,0.12258109745038868,7.062122765270069,0.5363525727321217,LBCM1014,LBCM
A5,Glu_30,2,hexose,4.3684,0.1473468253968254,0.15630767811000368,0.20657703705247893,0.12134444831624872,7.142714468412939,0.7024020457375724,LBCM1014,LBCM
A6,Glu_30,3,hexose,3.6716000000000006,0.12483440000000003,0.15901162790697676,0.20569839725586822,0.12419228351234184,7.4204443198018275,0.6562896778963451,LBCM1014,LBCM
A7,Xyl_36,1,pentose,1.00366,0.20096843345111895,0.0953926644205221,0.09150144942881205,0.09123165832899861,1.1476295174148183,0.002957209205170018,LBCM1014,LBCM
A8,Xyl_36,2,pentose,0.9574300000000001,0.19175671536286523,0.09973039914078426,0.09723328812247714,0.09578614339488777,3.15573945574535,0.015108080107405296,LBCM1014,LBCM
A9,Xyl_36,3,pentose,0.97418,0.19506548881036515,0.10340482647163558,0.0921573444345703,0.09044968265387121,4.22660732558,0.018879687917025552,LBCM1014,LBCM
A10,Xyl_16,1,pentose,0.8911000000000001,0.1784299175500589,0.1012477059194127,0.11256324194323229,0.10863190675652273,5.4910925049547785,0.03618950733803174,LBCM1014,LBCM
A11,Xyl_16,2,pentose,0.7215900000000001,0.14445395666509658,0.10553708551961355,0.11657389685048662,0.11607551818680208,5.098724697878524,0.0042935725936842015,LBCM1014,LBCM
A12,Xyl_16,3,pentose,0.7651399999999999,0.153028,0.08895348837209303,0.11139762933202652,0.1265400665189473,5.459292605432693,-0.11966515905579567,LBCM1014,LBCM
B1,Gal_4.5,1,hexose,0.71221,0.16064887218045112,0.10834627608693416,0.1223724567572257,0.11722781995200147,5.859011676833814,0.04388580123157355,LBCM1014,LBCM
B2,Gal_4.5,2,hexose,0.70484,0.16100406091370562,0.10929156221572564,0.11382109283278563,0.1088820408208856,5.819359373739105,0.045361493729024906,LBCM1014,LBCM
B3,Gal_4.5,3,hexose,0.75978,0.17052418952618453,0.10999348414190242,0.1128348267886453,0.10444299330859255,6.061777549987018,0.0803484581800314,LBCM1014,LBCM
B4,Gal_2,1,hexose,0.13869,0.07257034883720931,0.02940182292495149,0.09809151526833451,0.10406828312298937,6.333397337502044,-0.057431214153801556,LBCM1014,LBCM
B5,Gal_2,2,hexose,0.13735,0.07228947368421053,0.029591763265893876,0.09853243783661936,0.09979112532703156,6.331707952936633,-0.012613220727667756,LBCM1014,LBCM
B6,Gal_2,3,hexose,0.39329000000000003,0.19997796610169494,0.028258248510283104,0.09654903468498574,0.09398624512991545,6.253394491504218,0.02726770871128849,LBCM1014,LBCM
B7,Ara_4,1,pentose,0.55677,0.111354,0.1075923392612859,0,0.0800376863508421,2.97182515324869,-1,LBCM1014,LBCM
B8,Ara_4,2,pentose,0,0,0,0,0,0,NA,LBCM1014,LBCM
B9,Ara_4,3,pentose,0,0,0,0,0,0,NA,LBCM1014,LBCM
B10,Ara_2,1,pentose,0.9132100000000001,0.18294331840678765,0.11208611721631796,0.11590426871687394,0.1216134547553038,4.01779695487672,-0.046945348686271676,LBCM1014,LBCM
B11,Ara_2,2,pentose,0.9112000000000001,0.18245465253239107,0.11295778891719396,0.1143320302457811,0.12300745707448611,4.1923281821619165,-0.07052764958348563,LBCM1014,LBCM
B12,Ara_2,3,pentose,0.9574300000000001,0.19153106613320783,0.1125093729304296,0.11300047929807758,0.1484191906263099,4.534227521153351,-0.23863970136725524,LBCM1014,LBCM
C1,Man_16,1,hexose,0.49647,0.03130300264550265,0.003557947726894375,0,0.09575879701035354,3.322663759593868,-1,LBCM1014,LBCM
C2,Man_16,2,hexose,0.16616,0.012292229694774962,0.004098659399033138,0,0.08111596335443608,6.735321575376153,-1,LBCM1014,LBCM
C3,Man_16,3,hexose,0.2345,0.016413852178169357,0.003941413843138595,0,0.09180731294345304,5.612756828983185,-1,LBCM1014,LBCM
C4,Man_10,1,hexose,2.6264000000000003,0.29689739130434784,0.006406054838517813,0.12966627164931233,0.1149350670288741,4.363365379453814,0.12816980057737679,LBCM1014,LBCM
C5,Man_10,2,hexose,2.9279,0.29906407142857144,0.005702743306624976,0.1464952261366094,0.11285508174646759,4.332011946312745,0.2980826726590427,LBCM1014,LBCM
C6,Man_10,3,hexose,2.9413,0.30589520000000003,0.005865116279069768,0.15510619245903562,0.09382820313478567,4.1978522238808385,0.653087102565773,LBCM1014,LBCM
C7,EtOH_90,1,alcohol,0.0402,0,0,0,0.01073378880918496,21.118583210906664,-1,LBCM1014,LBCM
C8,EtOH_90,2,alcohol,0.03484,0,0,0,0.01069067671702574,22.056800336830165,-1,LBCM1014,LBCM
