well,condition,replicate,group,CDW,Yx,Yp,µmax2,µmax,lag,r.c_µmax,strain,strain_type
A1,Glu_65,1,hexose,6.5705,0.10274362890357876,0.13034085629533093,0.1575602999494558,0.1654283332480888,4.067855559740625,-0.04756158237315676,LBCM37,LBCM
A2,Glu_65,2,hexose,5.0065,0.07843021237725509,0.13086397937341113,0.1616014895071524,0.1683023957800556,4.742963169493191,-0.03981468143602794,LBCM37,LBCM
A3,Glu_65,3,hexose,5.4825,0.08588707467458324,0.12369139828978679,0.1573339070716728,0.16106620820805878,4.925377438948701,-0.023172465397364693,LBCM37,LBCM
A4,Glu_30,1,hexose,3.655,0.12574373119358073,0.23053697173996215,0.18033059351981204,0.15857086831404052,4.46936476645642,0.13722397712218887,LBCM37,LBCM
A5,Glu_30,2,hexose,4.7005,0.16302037411526796,0.22304261368688072,0.17583790830375193,0.1591884441886604,4.517883830267463,0.10458965284791398,LBCM37,LBCM
A6,Glu_30,3,hexose,4.827999999999999,0.16609869608826477,0.20299771357736035,0.1772180898422127,0.1551865471958911,4.588179940937986,0.1419681218792202,LBCM37,LBCM
A7,Xyl_36,1,pentose,1.3464,0.26978338590956885,0.14156189502877006,0.16215912543896968,0.11581897320183426,4.232570425029061,0.40010847062492794,LBCM37,LBCM
A8,Xyl_36,2,pentose,1.2937,0.25916312346688475,0.12257732454615819,0.18909434855059695,0.11802250010005444,4.002319406244803,0.6021889757486143,LBCM37,LBCM
A9,Xyl_36,3,pentose,1.3353499999999998,0.26769436002337815,0.11664561948707736,0.17905623962355738,0.11755062285393675,4.168738452169833,0.5232266344181333,LBCM37,LBCM
A10,Xyl_16,1,pentose,1.32175,0.26496800116890706,0.09251413906166323,0.21174390641018673,0.1283143477528711,3.8097596960048823,0.6501966468940638,LBCM37,LBCM
A11,Xyl_16,2,pentose,1.32175,0.26496800116890706,0.09184550862166435,0.22753420482543094,0.1304961671216322,3.91703940924553,0.7436083361234052,LBCM37,LBCM
A12,Xyl_16,3,pentose,1.1755499999999999,0.2358250380161422,0.08333332742203631,0.23627837667538001,0.13274670199440788,3.946819560727608,0.7799189970484806,LBCM37,LBCM
B1,Gal_4.5,1,hexose,1.4501,0.3342909657320872,0.19781648086539755,0.17347067520995485,0.13302764499745415,5.586871529212253,0.3040197412596058,LBCM37,LBCM
B2,Gal_4.5,2,hexose,1.4739,0.3323235831809872,0.2099531080643117,0.12928269473063617,0.09527489555099113,7.155968349075238,0.356943967064693,LBCM37,LBCM
B3,Gal_4.5,3,hexose,1.4875,0.3337628865979382,0.22458251523149633,0.1281553841893562,0.11995562651714135,6.031022097301284,0.06835659076852998,LBCM37,LBCM
B4,Gal_2,1,hexose,1.0114999999999998,0.519798611111111,0.05140447072299711,0.1376029222612057,0.11269326451255576,5.045806700142298,0.22103945481031503,LBCM37,LBCM
B5,Gal_2,2,hexose,0.99535,0.5031140710382513,0.050485142510612493,0.12745308714889333,0.10782627801196956,6.681247520456122,0.18202250415010193,LBCM37,LBCM
B6,Gal_2,3,hexose,1.0778,0.5477829670329671,0.050716301588042044,0.11803362069400962,0.102087519680496,6.747277631201653,0.15620029816984726,LBCM37,LBCM
B7,Ara_4,1,pentose,0.714,0.14293334889693007,0.18992855728643546,0.005708832276243498,0.07197444055823614,4.450112450629524,-0.9206825057344579,LBCM37,LBCM
B8,Ara_4,2,pentose,0.67575,0.13533939623963562,0.18758816596174027,0.007930742483331404,0.07710853403949314,4.262821447955265,-0.8971483172113028,LBCM37,LBCM
B9,Ara_4,3,pentose,0.5839500000000001,0.11703567254879048,0.20114995273375635,0.00583943518104047,0.07537204952803522,4.665388320087357,-0.9225251904703953,LBCM37,LBCM
B10,Ara_2,1,pentose,1.66685,0.33375922358435495,0.16556603322716415,0.18579712784237784,0.124702650614304,3.3655539640454544,0.4899212400627675,LBCM37,LBCM
B11,Ara_2,2,pentose,1.56825,0.31445676955454227,0.1489570577550304,0.1946905761096563,0.11208465367438339,3.536402076859304,0.7369958306268313,LBCM37,LBCM
B12,Ara_2,3,pentose,1.3294,0.26650157802454705,0.133726087999776,0.24676505788206649,0.12824291094440435,3.153264643221043,0.924200379302398,LBCM37,LBCM
C1,Man_16,1,hexose,5.287,0.33351419925512105,0.0057228973487684544,0.14138139885694648,0.133739496403974,5.592444173113345,0.05714020658406932,LBCM37,LBCM
C2,Man_16,2,hexose,1.5708,0.10049263456090653,0.0064208227609258714,0.1460772697150125,0.12737424755953652,6.237118665233663,0.14683519246489699,LBCM37,LBCM
C3,Man_16,3,hexose,3.6805,0.23601881211547562,0.006439905210087314,0.14532621873370388,0.13332595067029662,6.226105238155521,0.0900069941603707,LBCM37,LBCM
C4,Man_10,1,hexose,4.2585,0.4371414772727273,0.00906993678446074,0.16679823918933162,0.14704774196503556,4.803182609745838,0.13431350227052283,LBCM37,LBCM
C5,Man_10,2,hexose,3.502,0.37071953124999996,0.008721040687537901,0.15030107661937772,0.14575221828452256,4.716201810660435,0.031209530725462748,LBCM37,LBCM
C6,Man_10,3,hexose,1.78075,0.18419208015267177,0.010396828519713545,0.14987928951748905,0.14002767384144924,5.07975402600919,0.07035477635081347,LBCM37,LBCM
C7,EtOH_90,1,alcohol,0.057800000000000004,0,0,0,0.007407577966708946,16.661436399967293,-1,LBCM37,LBCM
C8,EtOH_90,2,alcohol,0.057800000000000004,0,0,0,0.00918347611239978,17.847817937360077,-1,LBCM37,LBCM
C9,EtOH_90,3,alcohol,0.05695,0,0,0,0.006617241210413231,19.341354533815657,-1,LBCM37,LBCM
