well,condition,replicate,group,CDW,Yx,Yp,µmax2,µmax,lag,r.c_µmax,strain,strain_type
A1,Glu_65,1,hexose,3.9906,0.06139384615384615,0.072996072996073,0.12793219794030936,0.14022893871334327,4.808689773377327,-0.08769046450655223,LBCM110,LBCM
A2,Glu_65,2,hexose,3.915,0.060230769230769234,0.07376607376607376,0.1316954024510905,0.14555375171725632,5.144187092227472,-0.09521121305815737,LBCM110,LBCM
A3,Glu_65,3,hexose,3.6666000000000007,0.05640923076923078,0.07349657349657351,0.1344580358749211,0.1459807821966042,5.203843784437575,-0.07893330990763206,LBCM110,LBCM
A4,Glu_30,1,hexose,3.4452000000000003,0.11569224489795919,0.1579873008444437,0.1542473752012115,0.14072926486202555,4.7083360477194125,0.09605756380834822,LBCM110,LBCM
A5,Glu_30,2,hexose,2.7432000000000003,0.09144000000000001,0.15415415415415415,0.15437358602624834,0.14309269366517652,4.791598701242825,0.07883625691936484,LBCM110,LBCM
A6,Glu_30,3,hexose,3.3048,0.11222679174484053,0.1566214432068091,0.1424956756983601,0.14057596654287932,4.909025452280922,0.01365602672129041,LBCM110,LBCM
A7,Xyl_36,1,pentose,0.82782,0.16589395482728078,0.09057053067239075,0.1051919209897926,0.09033182210354689,5.1854388238302835,0.16450569179498745,LBCM110,LBCM
A8,Xyl_36,2,pentose,0.8391600000000001,0.1682037209302326,0.0924465439969316,0.10662643251311102,0.09158108589239988,5.3409162352009085,0.16428443137689108,LBCM110,LBCM
A9,Xyl_36,3,pentose,0.83322,0.1667914399469144,0.08120291271142853,0.10835248391284623,0.09162488701890076,5.36928293422706,0.18256608480722963,LBCM110,LBCM
A10,Xyl_16,1,pentose,0.8688600000000001,0.17392574651625747,0.08911781722000701,0.11992585959470609,0.09370983433423076,4.993398502114443,0.27975746032131243,LBCM110,LBCM
A11,Xyl_16,2,pentose,0.7759800000000001,0.15540205797742865,0.08730294800221776,0.12172533882762508,0.09652748761236214,4.673187689869323,0.26104327211387907,LBCM110,LBCM
A12,Xyl_16,3,pentose,0.7641000000000001,0.15312455713020376,0.08746124335141166,0.11271728481168712,0.08758107255350826,4.708399250731395,0.2870050745590232,LBCM110,LBCM
B1,Gal_4.5,1,hexose,0.8958600000000001,0.19908000000000003,0.10415971527082638,0.12772004500384948,0.11194897809406225,7.140953841004062,0.14087727443600243,LBCM110,LBCM
B2,Gal_4.5,2,hexose,0.9169200000000001,0.2042327610208817,0.10350954202462323,0.1291251480912744,0.11182924362715406,7.53958503731224,0.15466352005192852,LBCM110,LBCM
B3,Gal_4.5,3,hexose,0.9288000000000001,0.20736,0.10877854598784831,0.13133512497409203,0.11034436293307301,7.57047487439053,0.19022958203810114,LBCM110,LBCM
B4,Gal_2,1,hexose,0.69552,0.34776,0.230980980980981,0.1022736192595697,0.09273172683644305,7.252498564509946,0.10289781877950245,LBCM110,LBCM
B5,Gal_2,2,hexose,0.6739200000000001,0.34596962566844924,0.023471599942188177,0.10306338702953617,0.09194935270522615,7.253614607529546,0.1208712622473777,LBCM110,LBCM
B6,Gal_2,3,hexose,0.7581600000000001,0.38714553191489365,0.02420292633058591,0.10114502359375284,0.09094029717361651,7.18231077324042,0.11221347122556917,LBCM110,LBCM
B7,Ara_4,1,pentose,0.66528,0.133056,0.08743743743743744,0,0.06678105487549535,2.423723340665757,-1,LBCM110,LBCM
B8,Ara_4,2,pentose,0,0,0,0,0,0,NA,LBCM110,LBCM
