well,condition,replicate,group,CDW,Yx,Yp,µmax2,µmax,lag,r.c_µmax,strain,strain_type
A1,Glu_65,1,hexose,6.1644000000000005,0.09565677977090989,0.08602220838999414,0.14089869716980924,0.15785268977508154,4.689770878724179,-0.10740388795040123,LBCM1030,LBCM
A2,Glu_65,2,hexose,3.8742,0.06001457605177993,0.07595600708593891,0.1495375111548997,0.15453501934387123,5.020771598113567,-0.0323390012839167,LBCM1030,LBCM
A3,Glu_65,3,hexose,3.1218000000000004,0.04835927508090615,0.07970137232686293,0.14935929712336818,0.14471721070301963,5.944625393383829,0.03207694784744556,LBCM1030,LBCM
A4,Glu_30,1,hexose,3.2670000000000003,0.11012704225352114,0.15817764095858194,0.18429103247733686,0.14090617396874575,5.388621680647612,0.30789891802905855,LBCM1030,LBCM
A5,Glu_30,2,hexose,5.5572,0.18732721126760565,0.15217914839131505,0.17049217188493246,0.13382614234071497,5.782603233371973,0.2739825635178778,LBCM1030,LBCM
A6,Glu_30,3,hexose,6.2106,0.20856926099158093,0.1260816070262162,0.16859006682304292,0.13074077180019975,6.621267342915254,0.2894987883403741,LBCM1030,LBCM
A7,Xyl_36,1,pentose,1.1814,0.03646718100547124,0.014490536307655623,0.11835157769792634,0.08304656762412779,1.569018333426115,0.425123049438846,LBCM1030,LBCM
A8,Xyl_36,2,pentose,1.1253000000000002,0.03435940064273724,0.01658969710470483,0.13646439698750273,0.08789003444184636,4.881450748080219,0.5526720162772978,LBCM1030,LBCM
A9,Xyl_36,3,pentose,1.13916,0.039007454401612164,0.017485427964440615,0.12127949381176747,0.09560740038250823,5.558390581466415,0.26851575638025676,LBCM1030,LBCM
A10,Xyl_16,1,pentose,1.0923,0.21894790619765495,0.09177123528668488,0.1560368872821474,0.1038195779941831,6.248816533612393,0.5029620645432598,LBCM1030,LBCM
A11,Xyl_16,2,pentose,1.08834,0.14659922084370802,0.05671983474571131,0.1524836616298705,0.1260290276561843,5.440371152923427,0.20990905401457394,LBCM1030,LBCM
A12,Xyl_16,3,pentose,1.04346,0.2088781866845099,0.08177501904144986,0.13994510208282357,0.1317963969846109,5.359227260194952,0.06182798076918706,LBCM1030,LBCM
B1,Gal_4.5,1,hexose,1.0956,0.24524379562043794,0.11616522422548202,0.1447355814637688,0.1197884813500794,6.340765051027414,0.20825959084314638,LBCM1030,LBCM
B2,Gal_4.5,2,hexose,1.0804200000000002,0.24067467312348673,0.11685220657452897,0.17825689298784303,0.11235866844015024,6.356529855357451,0.58649880300775,LBCM1030,LBCM
