well,condition,replicate,group,CDW,Yx,Yp,µmax2,µmax,lag,r.c_µmax,strain,strain_type
A1,Glu_65,1,hexose,1.568,0.024293445155594794,0.08133966011917901,0.18175709822562602,0.15009743652897173,5.55945400905026,0.21092739775434716,LBCM1095,LBCM
A2,Glu_65,2,hexose,1.568,0.024293445155594794,0.08325635314113314,0.18282445029435454,0.14590812009299559,5.500398177283912,0.25301080006945514,LBCM1095,LBCM
A3,Glu_65,3,hexose,1.911,0.029765298424672734,0.08052834193774176,0.17657410582457198,0.13016918992409252,5.295668055874209,0.3564969247142142,LBCM1095,LBCM
A4,Glu_30,1,hexose,0.82663,0.027871962536023052,0.17223773730651531,0.21247696368654315,0.12982931102196554,3.850519400834165,0.6365870080801294,LBCM1095,LBCM
A5,Glu_30,2,hexose,0.88396,0.030152571428571428,0.1713451654594091,0.2006940162976923,0.13444271487468287,4.367811919435175,0.492784614508594,LBCM1095,LBCM
A6,Glu_30,3,hexose,1.1882499999999998,0.041010398230088486,0.1769250068424414,0.201244187310534,0.12260347622137405,6.001692934833968,0.6414231758581259,LBCM1095,LBCM
A7,Xyl_36,1,pentose,0.43708,0.02733891938128163,0.033386337799536016,0.1268785683450464,0.09897187375531939,4.7937872841339875,0.28196591143377364,LBCM1095,LBCM
A8,Xyl_36,2,pentose,0.43708,0.08761569388920618,0.11676096722344229,0.16378414947927966,0.10133239186595269,4.749920613918415,0.6163059655785202,LBCM1095,LBCM
A9,Xyl_36,3,pentose,0.4851,0.041915006965099214,0.04881430296415528,0.14395038059245452,0.10990321253044119,5.367852850332463,0.30979229158185784,LBCM1095,LBCM
A10,Xyl_16,1,pentose,0.48852999999999996,0.0980860485070358,0.10670209240255367,0.12210472192942819,0.11737148646903446,4.476864177968959,0.04032696187793849,LBCM1095,LBCM
A11,Xyl_16,2,pentose,0.27979,0.056098646178453095,0.11745943364336937,0.12060805697823754,0.1299317699836601,5.216556790913509,-0.07175853147074876,LBCM1095,LBCM
A12,Xyl_16,3,pentose,0.26117,0.052317469466955834,0.10759434089927597,0.09757698922603765,0.1317926390536135,5.169186929227693,-0.2596173054373458,LBCM1095,LBCM
B1,Gal_4.5,1,hexose,0.48657,0.10812666666666666,0.13808705612829325,0.17512975904528386,0.12562634851359322,6.936102997939348,0.3940527693227841,LBCM1095,LBCM
B2,Gal_4.5,2,hexose,0.7668499999999999,0.1712428920073215,0.13191221702949374,0.11606720969704643,0.1229185642304257,5.882254997636845,-0.055738973004399756,LBCM1095,LBCM
B3,Gal_4.5,3,hexose,0.83545,0.18656174496644296,0.12512092487876061,0.14944090366466314,0.11597724260006104,6.84321745322151,0.2885364431365132,LBCM1095,LBCM
B4,Gal_2,1,hexose,0.22197,0.11159480769230769,0.027677013707941543,0.0912491767191833,0.12031975026316295,6.8770428944079205,-0.24161098639580447,LBCM1095,LBCM
B5,Gal_2,2,hexose,0.28370999999999996,0.1434224585635359,0.03005788289571111,0.10398707750778362,0.11638413430641789,6.707024888262031,-0.10651844319256709,LBCM1095,LBCM
B6,Gal_2,3,hexose,0.39298,0.19866116022099448,0.028064447229025465,0.0916240697030797,0.10413691639129562,6.3227601187368965,-0.12015764554808558,LBCM1095,LBCM
B7,Ara_4,1,pentose,0.38514,0.07711588134626354,0.10888697431795862,0.07032333803358093,0.09667506732840092,4.955240231923209,-0.2725804079898319,LBCM1095,LBCM
B8,Ara_4,2,pentose,0.35672,0.07144169804861349,0.10436953168841342,0,0.1000328262563833,5.164664714764811,-1,LBCM1095,LBCM
B9,Ara_4,3,pentose,0.37583,0.075320503597122307,0.1152880346679946,0,0.10733954925349014,5.640041964912376,-1,LBCM1095,LBCM
B10,Ara_2,1,pentose,0.44835,0.0897108938547486,0.10984388571992755,0.126994796948139,0.13194023976181576,4.418806544337528,-0.03748244525403688,LBCM1095,LBCM
B11,Ara_2,2,pentose,0.53998,0.10814388907908251,0.11427999167069602,0.14696317567162615,0.13682345307389016,4.357924171407757,0.07410807409063219,LBCM1095,LBCM
B12,Ara_2,3,pentose,0.26313000000000003,0.05267402190030798,0.12227642553671864,0.12597711748833854,0.13891543061254882,4.684845114280157,-0.09313805577363639,LBCM1095,LBCM
C1,Man_16,1,hexose,0.63308,0.041155280898876406,0.03820059241117971,0.17775766550044664,0.1233488297523111,5.609997765019045,0.44109729988837715,LBCM1095,LBCM
C2,Man_16,2,hexose,0.76783,0.04874155956112853,0.034913793103448276,0.16365781326272688,0.1345291868513686,5.847071400350504,0.21652272709817497,LBCM1095,LBCM
C3,Man_16,3,hexose,0.73402,0.04696336492890995,0.03631089070210583,0.1843948975625309,0.1298817436156886,5.831897239858922,0.41971375213550477,LBCM1095,LBCM
C4,Man_10,1,hexose,0.74627,0.08168631081081083,0.06062587071607692,0.17394093939676342,0.10333530906205565,5.352464514079839,0.6832672295227488,LBCM1095,LBCM
C5,Man_10,2,hexose,0.8192799999999999,0.086184,0.0614359351988218,0.1703997175302714,0.09384481891391423,5.24952755278819,0.8157605236212617,LBCM1095,LBCM
C6,Man_10,3,hexose,0.73451,0.07627603846153846,0.053421887390959565,0.16938562523014108,0.09104894410229845,9.279219503466951,0.8603798967709839,LBCM1095,LBCM
C7,EtOH_90,1,alcohol,0.01421,0,0,0,0.0037461155532143952,0.3193560210066205,-1,LBCM1095,LBCM
C8,EtOH_90,2,alcohol,0,0,0,0,0,0,NA,LBCM1095,LBCM
C9,EtOH_90,3,alcohol,0,0,0,0,0,0,NA,LBCM1095,LBCM
C10,EtOH_45,1,alcohol,0.41552,0.021899027027027028,0,0.14617281061844709,0.10916065709067711,10.08499879949048,0.33906129290725023,LBCM1095,LBCM
C11,EtOH_45,2,alcohol,0.43316,0.0228287027027027,0,0.13850654362099316,0.10813883875717918,10.115349815987043,0.28082144410671234,LBCM1095,LBCM
C12,EtOH_45,3,alcohol,0.52381,0.02680135714285714,0,0.14917230855676805,0.103271754761097,10.10617342297948,0.4444637732926567,LBCM1095,LBCM
D1,NaCl_80,1,salt,0.31703,0.016221214285714283,0.03072608277478886,0.12105065693869384,0.07601268662783119,8.934371258532522,0.5925059658971784,LBCM1095,LBCM
D2,NaCl_80,2,salt,0.42286999999999997,0.022021864985163207,0.0331253632720487,0.09900413555613762,0.08476207925036494,9.458736358247368,0.16802391389792806,LBCM1095,LBCM
D3,NaCl_80,3,salt,0.36701,0.018669639130434783,0.02708673240699238,0.11115501557005807,0.07923818260625011,9.327387484786016,0.40279612573156665,LBCM1095,LBCM
D4,NaCl_25,1,salt,0.68894,0.03504607826086956,0.026968735992828327,0.18658884148372604,0.09247559811152181,3.7852806939349515,1.0177089447824654,LBCM1095,LBCM
D5,NaCl_25,2,salt,0.6752199999999999,0.03516353412462908,0.029783298663158875,0.18308226925443835,0.09438337674364383,3.740534215102605,0.9397724003000123,LBCM1095,LBCM
D6,NaCl_25,3,salt,0.64435,0.03375624626865671,0.029529042929681493,0.1817205819487601,0.09184599369527938,9.49932334119866,0.9785357492201645,LBCM1095,LBCM
D7,FrAcid_3.5,1,acid,0.3626,0.018552857142857142,0.028141399416909615,0.1237986100310995,0.08204859136460908,7.88924816730124,0.5088450389228609,LBCM1095,LBCM
D8,FrAcid_3.5,2,acid,0.44394,0.022982734513274337,0.027045775932852845,0.15352277897515215,0.09048242273359176,3.719625049329261,0.6967138405121036,LBCM1095,LBCM
D9,FrAcid_3.5,3,acid,0.30772,0.01602518100890208,0.02840083820245343,0.140775080135262,0.10354006793865787,4.139003942552723,0.3596193525646896,LBCM1095,LBCM
D10,FrAcid_1,1,acid,0.41502999999999995,0.021112395652173908,0.02637875392200807,0.17230999859715138,0.1295728159410604,4.035049200981054,0.3298313951556868,LBCM1095,LBCM
D11,FrAcid_1,2,acid,0.50813,0.028490995207667725,0.03491386976713547,0.14697129356946906,0.13898718054019607,4.369194536967432,0.05744496001891287,LBCM1095,LBCM
D12,FrAcid_1,3,acid,0.39249,0.02081027039274924,0.03137540100289656,0.17149457987225053,0.14648030398186787,4.49362609686739,0.17076886933194146,LBCM1095,LBCM
E1,AcAcid_6,1,acid,0.18228,0.009436619469026549,0.035224888240124076,0.09842116991063049,0.12265362440088504,4.449495624551717,-0.19756818935127768,LBCM1095,LBCM
