well,condition,replicate,group,CDW,Yx,Yp,µmax2,µmax,lag,r.c_µmax,strain,strain_type
A1,Glu_65,1,hexose,4.388199999999999,0.06799733333333331,0.06810810810810809,0.19584461303729261,0.13497159568431394,5.312485377760857,0.45100613239658977,LBCM97,LBCM
A2,Glu_65,2,hexose,5.3206,0.08214929982046679,0.06674645920606424,0.19730844712313153,0.13682330899106615,6.15662042990147,0.4420674998878645,LBCM97,LBCM
A3,Glu_65,3,hexose,6.1716,0.0951178494623656,0.0703305455993628,0.2043740577869756,0.13559955548883998,4.81536657238129,0.5071882577358142,LBCM97,LBCM
A4,Glu_30,1,hexose,1.54512,0.052109929411764705,0.15764705882352942,0.22101663183745693,0.14347572114034648,4.585899825511914,0.5404462168289833,LBCM97,LBCM
A5,Glu_30,2,hexose,1.70644,0.0582356507936508,0.18192239858906528,0.21494849006653083,0.1346472765756142,4.660547732393196,0.5963820103395977,LBCM97,LBCM
A6,Glu_30,3,hexose,1.78266,0.06107918725099601,0.17450199203187253,0.22161183243868718,0.12922136167571371,6.648440270072129,0.7149783098156103,LBCM97,LBCM
A7,Xyl_36,1,pentose,0.88282,0.17693432766254955,0.11186203682125379,0.12211539691490503,0.09174915392594948,4.508021233549732,0.3309702780852242,LBCM97,LBCM
A8,Xyl_36,2,pentose,0.8214,0.16466293706293705,0.12022792022792021,0.13876303066361864,0.10505287048744745,4.92160196376488,0.320887568514362,LBCM97,LBCM
A9,Xyl_36,3,pentose,0.74592,0.14946206896551725,0.1272651962307135,0.13166405537154305,0.100792047484043,4.960576840229711,0.3062940842866357,LBCM97,LBCM
A10,Xyl_16,1,pentose,0.73926,0.14819664335664337,0.10101010101010101,0.15091745155641578,0.11246317414191778,4.561673697894898,0.34192772619037387,LBCM97,LBCM
A11,Xyl_16,2,pentose,0.6874600000000001,0.1378767723880597,0.10966003316749585,0.12393696750523146,0.12197678219341879,4.9087414334361785,0.0160701510284507,LBCM97,LBCM
A12,Xyl_16,3,pentose,0.6038399999999999,0.12085231556900161,0.11201613528818553,0.11585164202339335,0.12210969817223884,4.938047640059843,-0.05124946046478914,LBCM97,LBCM
B1,Gal_4.5,1,hexose,0.6808000000000001,0.15128888888888892,0.1004306632213609,0.14171045979206295,0.12514704080249736,6.2436832827745725,0.13235166315842334,LBCM97,LBCM
B2,Gal_4.5,2,hexose,0.7059599999999999,0.15688,0.10048808498420901,0.16278889263670343,0.12138041812515933,6.11173449867456,0.3411462503683787,LBCM97,LBCM
B3,Gal_4.5,3,hexose,0.7067,0.1609534536403236,0.12505848926450652,0.14951377195364163,0.11728281462513487,6.273254736623235,0.27481398218080744,LBCM97,LBCM
B4,Gal_2,1,hexose,0.13912,0.07358080924855491,0.031091768606891616,0.09248596574197986,0.10797406407489897,6.01658684163306,-0.14344276531237538,LBCM97,LBCM
B5,Gal_2,2,hexose,0.36556,0.2186192156862745,0.037180422556619554,0.10569657061479537,0.10114974224961744,5.894736062133243,0.04495145775020627,LBCM97,LBCM
B6,Gal_2,3,hexose,0.35963999999999996,0.1958753571428571,0.03236895533407161,0.08924263078797609,0.08989667771078512,5.640976140054751,-0.007275540536806306,LBCM97,LBCM
B7,Ara_4,1,pentose,0.76886,0.15380776924866246,0.10963790028688843,0,0.09340422305309469,3.796287064566609,-1,LBCM97,LBCM
B8,Ara_4,2,pentose,0.37962,0.07611872231289345,0.1249190435480946,0,0.09571783151602871,4.342019483820423,-1,LBCM97,LBCM
